Type;NAME;ICB INDUSTRY CODE;ICB INDUSTRY NAME;ICB SECTOR CODE;ICB SECTOR NAME;ICB SUBSECTOR CODE;ICB SUBSECTOR NAME
902324;EDISON INTL.;65;Utilities;651010;Electricity;65101015;Conventional Electricity
902325;SOUTHERN;65;Utilities;651010;Electricity;65101015;Conventional Electricity
905647;SOUTHWEST AIRLINES;40;Consumer Discretionary;405010;Travel and Leisure;40501010;Airlines
945388;AT&T;15;Telecommunications;151020;Telecommunications Service Providers;15102015;Telecommunications Services
905024;CHEVRON;60;Energy;601010;Oil, Gas and Coal;60101000;Integrated Oil and Gas
951052;STATE STREET;30;Financials;302020;Investment Banking and Brokerage Services;30202010;Asset Managers and Custodians
326143;STARBUCKS;40;Consumer Discretionary;405010;Travel and Leisure;40501040;Restaurants and Bars
905792;PUBLIC STORAGE;35;Real Estate;351020;Real Estate Investment Trusts;35102050;Storage REITs
981722;STRYKER;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
15303X;NETFLIX;40;Consumer Discretionary;403010;Media;40301010;Entertainment
325059;SYNOPSYS;10;Technology;101010;Software and Computer Services;10101015;Software
916079;SYSCO;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201010;Food Retailers and Wholesalers
292538;INTUITIVE SURGICAL;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
921509;TELEFLEX;20;Health Care;201020;Medical Equipment and Services;20102015;Medical Supplies
905061;TEXAS INSTRUMENTS;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
921649;TEXTRON;50;Industrials;502010;Aerospace and Defense;50201010;Aerospace
906394;THERMO FISHER SCIENTIFIC;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
745110;TIFFANY & CO;40;Consumer Discretionary;402040;Personal Goods;40204030;Luxury Items
867138;DAVITA;20;Health Care;201010;Health Care Providers;20101010;Health Care Facilities
130088;TRACTOR SUPPLY;40;Consumer Discretionary;404010;Retailers;40401030;Specialty Retailers
922853;TYLER TECHNOLOGIES;10;Technology;101010;Software and Computer Services;10101010;Computer Services
906643;TYSON FOODS 'A';45;Consumer Staples;451020;Food Producers;45102020;Food Products
544682;MARATHON OIL;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
905105;UNION PACIFIC;50;Industrials;502060;Industrial Transportation;50206020;Railroads
702635;UNITEDHEALTH GROUP;20;Health Care;201010;Health Care Providers;20101020;Health Care Management Services
992953;UNIVERSAL HEALTH SVS.'B';20;Health Care;201010;Health Care Providers;20101010;Health Care Facilities
906220;VARIAN MEDICAL SYSTEMS;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
500344;VENTAS;35;Real Estate;351020;Real Estate Investment Trusts;35102010;Health Care REITs
901892;V F;40;Consumer Discretionary;402040;Personal Goods;40204020;Clothing and Accessories
545310;VERTEX PHARMS.;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
905816;VULCAN MATERIALS;50;Industrials;501010;Construction and Materials;50101035;Building Materials: Other
912146;VORNADO REALTY TRUST;35;Real Estate;351020;Real Estate Investment Trusts;35102030;Office REITs
916548;WALMART;40;Consumer Discretionary;404010;Retailers;40401010;Diversified Retailers
519514;WASTE MANAGEMENT;65;Utilities;651030;Waste and Disposal Services;65103035;Waste and Disposal Services
867390;WATERS;50;Industrials;502020;Electronic and Electrical Equipment;50202020;Electronic Equipment: Control and Filter
923298;WEST PHARM.SVS.;20;Health Care;201020;Medical Equipment and Services;20102015;Medical Supplies
912441;J M SMUCKER;45;Consumer Staples;451020;Food Producers;45102020;Food Products
906785;WESTERN DIGITAL;10;Technology;101020;Technology Hardware and Equipment;10102030;Computer Hardware
141545;WABTEC;50;Industrials;502060;Industrial Transportation;50206025;Railroad Equipment
905818;WEYERHAEUSER;35;Real Estate;351020;Real Estate Investment Trusts;35102060;Timber REITs
904869;WHIRLPOOL;40;Consumer Discretionary;402020;Household Goods and Home Construction;40202020;Household Appliance
923602;SKYWORKS SOLUTIONS;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
26406N;WYNN RESORTS;40;Consumer Discretionary;405010;Travel and Leisure;40501020;Casinos and Gambling
25735K;NASDAQ;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
26393N;CME GROUP;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
922407;WILLIAMS;60;Energy;601010;Oil, Gas and Coal;60101035;Pipelines
27338P;LKQ;40;Consumer Discretionary;401010;Automobiles and Parts;40101025;Auto Parts
906979;ALLIANT ENERGY (XSC);65;Utilities;651010;Electricity;65101015;Conventional Electricity
877723;CARMAX;40;Consumer Discretionary;404010;Retailers;40401030;Specialty Retailers
543542;XILINX;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
921855;TJX;40;Consumer Discretionary;404010;Retailers;40401020;Apparel Retailers
545588;ZEBRA TECHNOLOGIES 'A';50;Industrials;502020;Electronic and Electrical Equipment;50202020;Electronic Equipment: Control and Filter
951584;ZIONS BANCORP.;30;Financials;301010;Banks;30101010;Banks
951051;REGIONS FINL.NEW;30;Financials;301010;Banks;30101010;Banks
28833V;DOMINO'S PIZZA;40;Consumer Discretionary;405010;Travel and Leisure;40501040;Restaurants and Bars
28984D;EXTRA SPACE STRG.;35;Real Estate;351020;Real Estate Investment Trusts;35102070;Other Specialty REITs
29502P;LAS VEGAS SANDS;40;Consumer Discretionary;405010;Travel and Leisure;40501020;Casinos and Gambling
29304L;DIGITAL REALTY TST.;35;Real Estate;351020;Real Estate Investment Trusts;35102070;Other Specialty REITs
28484K;MARKETAXESS HOLDINGS;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
29756N;CELANESE;55;Basic Materials;552010;Chemicals;55201000;Chemicals: Diversified
905997;MOLSON COORS BEVERAGE COMPANY B;45;Consumer Staples;451010;Beverages;45101010;Brewers
30241D;DEXCOM;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
31109K;CF INDUSTRIES HDG.;55;Basic Materials;552010;Chemicals;55201015;Fertilizers
31604H;AMERIPRISE FINL.;30;Financials;302020;Investment Banking and Brokerage Services;30202000;Diversified Financial Services
31610N;UNDER ARMOUR A;40;Consumer Discretionary;402040;Personal Goods;40204020;Clothing and Accessories
32521X;LIVE NATION ENTM.;40;Consumer Discretionary;403010;Media;40301010;Entertainment
32199R;CHIPOTLE MEXN.GRILL;40;Consumer Discretionary;405010;Travel and Leisure;40501040;Restaurants and Bars
32593H;TRANSDIGM GROUP;50;Industrials;502010;Aerospace and Defense;50201010;Aerospace
32451J;MASTERCARD;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
41071J;HANESBRANDS;40;Consumer Discretionary;402040;Personal Goods;40204020;Clothing and Accessories
41195M;WESTERN UNION;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
50314E;BROADRIDGE FINL.SLTN.;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
517465;PEOPLES UNITED FINANCIAL;30;Financials;301010;Banks;30101010;Banks
50469N;DELTA AIR LINES;40;Consumer Discretionary;405010;Travel and Leisure;40501010;Airlines
50642F;DISCOVER FINANCIAL SVS.;30;Financials;301010;Banks;30101010;Banks
50463C;CONCHO RESOURCES;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
905840;BANK OF NEW YORK MELLON;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
50806E;ULTA BEAUTY;40;Consumer Discretionary;404010;Retailers;40401030;Specialty Retailers
51245V;INVESCO;30;Financials;302020;Investment Banking and Brokerage Services;30202010;Asset Managers and Custodians
50901M;MSCI;30;Financials;302010;Finance and Credit Services;30201030;Financial Data Providers
51605D;PHILIP MORRIS INTL.;45;Consumer Staples;451030;Tobacco;45103010;Tobacco
51683M;VISA 'A';50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
51922M;AMERICAN WATER WORKS;65;Utilities;651020;Gas, Water and Multi-utilities;65102030;Water
328314;CHUBB;30;Financials;303020;Non-life Insurance;30302025;Property and Casualty Insurance
31196R;DISCOVERY SERIES A;40;Consumer Discretionary;403010;Media;40301010;Entertainment
54099E;DISCOVERY SERIES C;40;Consumer Discretionary;403010;Media;40301010;Entertainment
77229W;MARATHON PETROLEUM;60;Energy;601010;Oil, Gas and Coal;60101020;Oil Refining and Marketing
77597H;FORTUNE BNS.HM.& SCTY.;40;Consumer Discretionary;402020;Household Goods and Home Construction;40202015;Household Furnishings
771767;MOSAIC;55;Basic Materials;552010;Chemicals;55201015;Fertilizers
74500P;KINDER MORGAN;60;Energy;601010;Oil, Gas and Coal;60101035;Pipelines
77805K;XYLEM;50;Industrials;502020;Electronic and Electrical Equipment;50202030;Electronic Equipment: Pollution Control
921503;STANLEY BLACK & DECKER;50;Industrials;502040;Industrial Engineering;50204040;Machinery: Tools
69264X;LYONDELLBASELL INDS.CL.A;55;Basic Materials;552010;Chemicals;55201020;Specialty Chemicals
921218;PVH;40;Consumer Discretionary;402040;Personal Goods;40204020;Clothing and Accessories
255781;GARMIN;40;Consumer Discretionary;402030;Leisure Goods;40203010;Consumer Electronics
75586W;HNTGTN.INGALLS INDS.;50;Industrials;502010;Aerospace and Defense;50201020;Defense
670129;PROLOGIS REIT;35;Real Estate;351020;Real Estate Investment Trusts;35102020;Industrial REITs
14352P;ACCENTURE CLASS A;50;Industrials;502050;Industrial Support Services;50205020;Professional Business Support Services
749688;HCA HEALTHCARE;20;Health Care;201010;Health Care Providers;20101010;Health Care Facilities
67576C;VERISK ANALYTICS CL.A;50;Industrials;502050;Industrial Support Services;50205020;Professional Business Support Services
32730D;UNITED AIRLINES HOLDINGS;40;Consumer Discretionary;405010;Travel and Leisure;40501010;Airlines
69723H;FLEETCOR TECHNOLOGIES;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
894145;RALPH LAUREN CL.A;40;Consumer Discretionary;402040;Personal Goods;40204020;Clothing and Accessories
72929C;FIRST REPUBLIC BANK;30;Financials;301010;Banks;30101010;Banks
69465W;CBOE GLOBAL MARKETS;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
26599V;SEAGATE TECH.;10;Technology;101020;Technology Hardware and Equipment;10102030;Computer Hardware
68301M;DOLLAR GENERAL;40;Consumer Discretionary;404010;Retailers;40401010;Diversified Retailers
67888X;FORTINET;10;Technology;101010;Software and Computer Services;10101015;Software
904878;MOTOROLA SOLUTIONS;15;Telecommunications;151010;Telecommunications Equipment;15101010;Telecommunications Equipment
921934;HOLLYFRONTIER;60;Energy;601010;Oil, Gas and Coal;60101020;Oil Refining and Marketing
50661L;TE CONNECTIVITY;10;Technology;101020;Technology Hardware and Equipment;10102015;Electronic Components
328595;O REILLY AUTOMOTIVE;40;Consumer Discretionary;404010;Retailers;40401030;Specialty Retailers
68470T;GENERAL MOTORS;40;Consumer Discretionary;401010;Automobiles and Parts;40101020;Automobiles
28513N;CBRE GROUP CLASS A;35;Real Estate;351010;Real Estate Investment and Services;35101015;Real Estate Services
31412T;EXPEDIA GROUP;40;Consumer Discretionary;405010;Travel and Leisure;40501015;Travel and Tourism
77805R;APTIV;40;Consumer Discretionary;401010;Automobiles and Parts;40101025;Auto Parts
87035H;PHILLIPS 66;60;Energy;601010;Oil, Gas and Coal;60101020;Oil Refining and Marketing
680902;AMERICAN TOWER;35;Real Estate;351020;Real Estate Investment Trusts;35102025;Infrastructure REITs
86831C;FACEBOOK CLASS A;10;Technology;101010;Software and Computer Services;10101020;Consumer Digital Services
904383;DUKE ENERGY;65;Utilities;651020;Gas, Water and Multi-utilities;65102000;Multi-Utilities
87735V;DIAMONDBACK ENERGY;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
87161Q;SERVICENOW;10;Technology;101010;Software and Computer Services;10101010;Computer Services
13967E;MONDELEZ INTERNATIONAL CL.A;45;Consumer Staples;451020;Food Producers;45102020;Food Products
903749;EATON;50;Industrials;502030;General Industrials;50203000;Diversified Industrials
87851X;ABBVIE;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
50394K;T-MOBILE US;15;Telecommunications;151020;Telecommunications Service Providers;15102015;Telecommunications Services
88054V;ZOETIS A;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
77444J;NORWEGIAN CRUISE LINE HDG.;40;Consumer Discretionary;405010;Travel and Leisure;40501015;Travel and Tourism
937343;L BRANDS;40;Consumer Discretionary;404010;Retailers;40401020;Apparel Retailers
87310L;COTY CL.A;40;Consumer Discretionary;402040;Personal Goods;40204035;Cosmetics
89257H;NEWS 'A';40;Consumer Discretionary;403010;Media;40301030;Publishing
89257J;NEWS 'B';40;Consumer Discretionary;403010;Media;40301030;Publishing
89261N;CDW;10;Technology;101020;Technology Hardware and Equipment;10102030;Computer Hardware
93801Q;AMERICAN AIRLINES GROUP;40;Consumer Discretionary;405010;Travel and Leisure;40501010;Airlines
88989Y;IHS MARKIT;30;Financials;302020;Investment Banking and Brokerage Services;30202000;Diversified Financial Services
13967H;WILLIS TOWERS WATSON;30;Financials;303020;Non-life Insurance;30302015;Insurance Brokers
7025QJ;UNDER ARMOUR 'C';40;Consumer Discretionary;402040;Personal Goods;40204020;Clothing and Accessories
921431;BAKER HUGHES A;60;Energy;601010;Oil, Gas and Coal;60101030;Oil Equipment and Services
2653G3;LAMB WESTON HOLDINGS;45;Consumer Staples;451020;Food Producers;45102020;Food Products
88391F;IQVIA HOLDINGS;20;Health Care;201010;Health Care Providers;20101025;Health Care Services
696306;BOOKING HOLDINGS;40;Consumer Discretionary;405010;Travel and Leisure;40501015;Travel and Tourism
9011GV;TECHNIPFMC;60;Energy;601010;Oil, Gas and Coal;60101030;Oil Equipment and Services
31676F;LEIDOS HOLDINGS;10;Technology;101010;Software and Computer Services;10101010;Computer Services
54332K;BROADCOM;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
266220;TAPESTRY;40;Consumer Discretionary;402040;Personal Goods;40204020;Clothing and Accessories
91240W;TWITTER;10;Technology;101010;Software and Computer Services;10101020;Consumer Digital Services
902305;EVERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
93045D;ALLEGION;50;Industrials;502020;Electronic and Electrical Equipment;50202020;Electronic Equipment: Control and Filter
30730Q;INTERCONTINENTAL EX.;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
325895;STERIS;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
546487;PERRIGO;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
912278;CIGNA;20;Health Care;201010;Health Care Providers;20101020;Health Care Management Services
9436NF;DOW ORD SHS;55;Basic Materials;552010;Chemicals;55201000;Chemicals: Diversified
9451T5;AMCOR;50;Industrials;502030;General Industrials;50203030;Containers and Packaging
945589;HEALTHPEAK PROPERTIES;35;Real Estate;351020;Real Estate Investment Trusts;35102010;Health Care REITs
905284;XEROX HOLDINGS;10;Technology;101020;Technology Hardware and Equipment;10102035;Electronic Office Equipment
9406MC;FOX A;40;Consumer Discretionary;403010;Media;40301035;Radio and TV Broadcasters
9406MA;FOX B;40;Consumer Discretionary;403010;Media;40301035;Radio and TV Broadcasters
132808;APARTMENT INV.& MAN.'A';35;Real Estate;351020;Real Estate Investment Trusts;35102040;Residential REITs
541900;NORTONLIFELOCK;10;Technology;101010;Software and Computer Services;10101015;Software
9140VW;DUPONT DE NEMOURS;50;Industrials;502030;General Industrials;50203000;Diversified Industrials
9664FY;CARRIER GLOBAL;50;Industrials;501010;Construction and Materials;50101025;Building: Climate Control
9664FX;OTIS WORLDWIDE;50;Industrials;502040;Industrial Engineering;50204000;Machinery: Industrial
993394;GLOBE LIFE;30;Financials;303010;Life Insurance;30301010;Life Insurance
9448Z6;CORTEVA;45;Consumer Staples;451020;Food Producers;45102010;Farming, Fishing, Ranching and Plantations
905409;L3HARRIS TECHNOLOGIES;15;Telecommunications;151010;Telecommunications Equipment;15101010;Telecommunications Equipment
905446;TRANE TECHNOLOGIES;50;Industrials;501010;Construction and Materials;50101025;Building: Climate Control
905113;HOWMET AEROSPACE;50;Industrials;502010;Aerospace and Defense;50201010;Aerospace
992305;TRUIST FINANCIAL;30;Financials;301010;Banks;30101010;Banks
32480Q;VIACOMCBS B;40;Consumer Discretionary;403010;Media;40301035;Radio and TV Broadcasters
9084MP;INGERSOLL RAND;50;Industrials;501010;Construction and Materials;50101025;Building: Climate Control
8858FM;PAYCOM SOFTWARE;10;Technology;101010;Software and Computer Services;10101015;Software
922817;AON CLASS A;30;Financials;303020;Non-life Insurance;30302015;Insurance Brokers
906585;PENTAIR;50;Industrials;502020;Electronic and Electrical Equipment;50202030;Electronic Equipment: Pollution Control
905122;RAYTHEON TECHNOLOGIES;50;Industrials;502010;Aerospace and Defense;50201010;Aerospace
8857RL;ARISTA NETWORKS;10;Technology;101010;Software and Computer Services;10101020;Consumer Digital Services
8894H9;SYNCHRONY FINANCIAL;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
9110QM;CITIZENS FINANCIAL GROUP;30;Financials;301010;Banks;30101010;Banks
9110QF;KEYSIGHT TECHNOLOGIES;50;Industrials;502020;Electronic and Electrical Equipment;50202025;Electronic Equipment: Gauges and Meters
9269TG;QORVO;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
14737P;ANTHEM;20;Health Care;201010;Health Care Providers;20101020;Health Care Management Services
687197;CROWN CASTLE INTL.;35;Real Estate;351020;Real Estate Investment Trusts;35102025;Infrastructure REITs
906496;MEDTRONIC;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
904866;WALGREENS BOOTS ALLIANCE;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201015;Drug Retailers
906931;MYLAN;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
894720;IRON MOUNTAIN;35;Real Estate;351020;Real Estate Investment Trusts;35102070;Other Specialty REITs
261977;EQUINIX REIT;35;Real Estate;351020;Real Estate Investment Trusts;35102070;Other Specialty REITs
921999;EVERSOURCE ENERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
72467E;NIELSEN;40;Consumer Discretionary;403010;Media;40301020;Media Agencies
545615;JOHNSON CONTROLS INTL.;50;Industrials;502020;Electronic and Electrical Equipment;50202020;Electronic Equipment: Control and Filter
510209;DENTSPLY SIRONA;20;Health Care;201020;Medical Equipment and Services;20102015;Medical Supplies
96699P;WESTROCK;50;Industrials;502030;General Industrials;50203030;Containers and Packaging
9801CJ;KRAFT HEINZ;45;Consumer Staples;451020;Food Producers;45102020;Food Products
7552EK;FORTIVE;50;Industrials;502030;General Industrials;50203000;Diversified Industrials
905414;S&P GLOBAL;30;Financials;302010;Finance and Credit Services;30201030;Financial Data Providers
93781J;HILTON WORLDWIDE HDG.;40;Consumer Discretionary;405010;Travel and Leisure;40501025;Hotels and Motels
29026M;ALPHABET A;10;Technology;101010;Software and Computer Services;10101020;Consumer Digital Services
982579;WELLTOWER;35;Real Estate;351020;Real Estate Investment Trusts;35102010;Health Care REITs
8660JC;HEWLETT PACKARD ENTER.;10;Technology;101010;Software and Computer Services;10101010;Computer Services
9801CK;PAYPAL HOLDINGS;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
905277;HP;10;Technology;101020;Technology Hardware and Equipment;10102030;Computer Hardware
916091;DXC TECHNOLOGY;10;Technology;101010;Software and Computer Services;10101010;Computer Services
871997;ALPHABET 'C';10;Technology;101010;Software and Computer Services;10101020;Consumer Digital Services
902335;WEC ENERGY GROUP;65;Utilities;651020;Gas, Water and Multi-utilities;65102000;Multi-Utilities
512785;MONSTER BEVERAGE;45;Consumer Staples;451010;Beverages;45101020;Soft Drinks
9373MH;LINDE;55;Basic Materials;552010;Chemicals;55201020;Specialty Chemicals
699786;SBA COMMS.;35;Real Estate;351020;Real Estate Investment Trusts;35102025;Infrastructure REITs
68470X;CHARTER COMMS.CL.A;15;Telecommunications;151020;Telecommunications Service Providers;15102010;Cable Television Services
